iter	Passed	Remaining
0	391	390708
1	663	331274
2	926	307888
3	1195	297756
4	1464	291529
5	1728	286310
6	1995	283059
7	2227	276218
8	2418	266353
9	2581	255617
10	2741	246465
11	2896	238468
12	3103	235647
13	3299	232357
14	3489	229116
15	3700	227560
16	3876	224160
17	4054	221204
18	4274	220677
19	4493	220180
20	4697	218991
21	4892	217495
22	5103	216777
23	5341	217235
24	5532	215765
25	5695	213358
26	5876	211786
27	6030	209331
28	6192	207346
29	6381	206347
30	6562	205129
31	6768	204758
32	7045	206455
33	7336	208453
34	7667	211394
35	8020	214759
36	8366	217765
37	8785	222407
38	9043	222837
39	9304	223311
40	9596	224463
41	9795	223436
42	10028	223190
43	10189	221400
44	10422	221195
45	10620	220252
46	10805	219096
47	11015	218476
48	11246	218275
49	11472	217976
50	11683	217400
51	11906	217061
52	12110	216388
53	12324	215907
54	12533	215349
55	12713	214313
56	12890	213259
57	13066	212211
58	13264	211557
59	13481	211209
60	13749	211645
61	13968	211336
62	14178	210883
63	14381	210326
64	14581	209744
65	14761	208894
66	15000	208890
67	15216	208556
68	15442	208358
69	15668	208161
70	15857	207489
71	16028	206594
72	16274	206660
73	16493	206390
74	16709	206082
75	16927	205802
76	17124	205273
77	17324	204788
78	17578	204932
79	17807	204782
80	17989	204098
81	18173	203455
82	18393	203220
83	18596	202794
84	18789	202261
85	19030	202252
86	19194	201432
87	19425	201318
88	19642	201064
89	19843	200643
90	20038	200164
91	20275	200107
92	20515	200078
93	20754	200034
94	20975	199818
95	21221	199836
96	21433	199528
97	21615	198949
98	21798	198386
99	21999	197999
100	22203	197634
101	22425	197432
102	22613	196931
103	22793	196376
104	22987	195937
105	23189	195582
106	23396	195266
107	23588	194823
108	23747	194123
109	23933	193645
110	24176	193631
111	24376	193271
112	24623	193285
113	24882	193382
114	25193	193882
115	25372	193358
116	25576	193026
117	25771	192628
118	25964	192225
119	26186	192036
120	26394	191742
121	26566	191193
122	26730	190592
123	26899	190034
124	27159	190117
125	27408	190116
126	27672	190218
127	27863	189822
128	28044	189355
129	28266	189166
130	28441	188671
131	28608	188120
132	28806	187784
133	29054	187770
134	29342	188010
135	29543	187687
136	29759	187463
137	29923	186911
138	30091	186396
139	30329	186312
140	30548	186105
141	30716	185594
142	30927	185347
143	31113	184951
144	31347	184839
145	31545	184521
146	31771	184360
147	31983	184120
148	32153	183640
149	32362	183385
150	32540	182961
151	32806	183024
152	33020	182800
153	33291	182888
154	33561	182966
155	33779	182757
156	34033	182739
157	34294	182758
158	34577	182892
159	34895	183199
160	35166	183256
161	35436	183307
162	35748	183566
163	36037	183703
164	36281	183605
165	36532	183542
166	36778	183452
167	37001	183244
168	37225	183041
169	37416	182682
170	37603	182298
171	37854	182230
172	38106	182163
173	38299	181813
174	38512	181559
175	38709	181231
176	38914	180940
177	39084	180491
178	39258	180064
179	39457	179750
180	39630	179321
181	39784	178813
182	39951	178364
183	40118	177915
184	40291	177499
185	40467	177100
186	40655	176753
187	40935	176808
188	41132	176498
189	41313	176128
190	41470	175651
191	41644	175254
192	41818	174856
193	41988	174448
194	42162	174054
195	42335	173663
196	42501	173243
197	42658	172790
198	42805	172299
199	42951	171807
200	43106	171352
201	43253	170872
202	43400	170394
203	43598	170118
204	43759	169701
205	43928	169315
206	44095	168927
207	44267	168556
208	44435	168173
209	44619	167853
210	44797	167511
211	44964	167132
212	45126	166734
213	45286	166331
214	45441	165912
215	45599	165508
216	45758	165110
217	45910	164686
218	46047	164215
219	46190	163767
220	46336	163329
221	46482	162899
222	46645	162528
223	46794	162109
224	46962	161758
225	47111	161347
226	47274	160982
227	47470	160735
228	47643	160407
229	47807	160050
230	47970	159695
231	48134	159340
232	48289	158962
233	48450	158603
